"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ab,dul Mannan H,ossain ,496348 
"",RUNER-UP CPM An,isur Rahaman, Sarkar ,460701 
"",MARGIN 35647 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :12 
"",Constituency :Krishnanagar ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,8 ,2 ,10 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,1 ,0 ,1 
"",4. CONTESTED ,7 ,2 ,9 
"",5. FORFEITED DEPOSIT ,5 ,1 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,641054 ,578629 ,1219683 
"",2. SERVICE ,2424 ,975 ,3399 
"",3. TOTAL ,643478 ,579604 ,1223082 
"",III.VOTERS ,"","",""
"",1. GENERAL ,547191 ,496816 ,1044007 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1704 
"",4. TOTAL ,"","",1045711 
"",III(A). POLLING PERCENTAGE 85.50 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",290 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1045421 
"",4. TENDERED VOTES ,"","",55 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1523 ,AVERAGE ,ELECTORS PER POLLING S,TATION 800 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC Ta,pas Paul ,"",443679 
"",RUNER-UP CPM Jy,otirmoyee Sik,dar ,366293 
"",MARGIN 77386 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :13 
"",Constituency :Ranaghat ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,6 ,0 ,6 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,6 ,0 ,6 
"",5. FORFEITED DEPOSIT ,4 ,0 ,4 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,694807 ,631249 ,1326056 
"",2. SERVICE ,2263 ,1117 ,3380 
"",3. TOTAL ,697070 ,632366 ,1329436 
"",III.VOTERS ,"","",""
"",1. GENERAL ,595948 ,549404 ,1145352 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1893 
"",4. TOTAL ,"","",1147245 
"",III(A). POLLING PERCENTAGE 86.30 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",247 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",17 
"",3. TOTAL VALID VOTES POLLED ,"","",1146981 
"",4. TENDERED VOTES ,"","",17 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1648 ,AVERAGE ,ELECTORS PER POLLING S,TATION 804 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC Su,charu Ranjan, Haldar ,575058 
"",RUNER-UP CPM Ba,sudeb Barma,n ,473235 
"",MARGIN 101823 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :14 
"",Constituency :Bangaon ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,6 ,1 ,7 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,6 ,1 ,7 
"",5. FORFEITED DEPOSIT ,4 ,1 ,5 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,648252 ,594675 ,1242927 
"",2. SERVICE ,2853 ,1199 ,4052 
"",3. TOTAL ,651105 ,595874 ,1246979 
"",III.VOTERS ,"","",""
"",1. GENERAL ,591251 ,486395 ,1077646 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",589 
"",4. TOTAL ,"","",1078235 
"",III(A). POLLING PERCENTAGE 86.47 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",105 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1078130 
"",4. TENDERED VOTES ,"","",19 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1568 ,AVERAGE ,ELECTORS PER POLLING S,TATION 792 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-15-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC G,obinda Chand,ra Naskar ,546596 
"",RUNER-UP CPM As,im Bala ,"",453770 
"",MARGIN 92826 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :15 
"",Constituency :Barrackpore ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,10 ,0 ,10 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,10 ,0 ,10 
"",5. FORFEITED DEPOSIT ,8 ,0 ,8 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,591698 ,487546 ,1079244 
"",2. SERVICE ,1376 ,617 ,1993 
"",3. TOTAL ,593074 ,488163 ,1081237 
"",III.VOTERS ,"","",""
"",1. GENERAL ,480909 ,388025 ,868934 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1034 
"",4. TOTAL ,"","",869968 
"",III(A). POLLING PERCENTAGE 80.46 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",210 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",869758 
"",4. TENDERED VOTES ,"","",14 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1327 ,AVERAGE ,ELECTORS PER POLLING S,TATION 813 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC D,inesh Trivedi ,"",428699 
"",RUNER-UP CPM Ta,rit Baran Topd,ar ,372675 
"",MARGIN 56024 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :16 
"",Constituency :Dum dum ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,6 ,0 ,6 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,6 ,0 ,6 
"",5. FORFEITED DEPOSIT ,4 ,0 ,4 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,633718 ,577476 ,1211194 
"",2. SERVICE ,658 ,368 ,1026 
"",3. TOTAL ,634376 ,577844 ,1212220 
"",III.VOTERS ,"","",""
"",1. GENERAL ,522427 ,452031 ,974458 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1226 
"",4. TOTAL ,"","",975684 
"",III(A). POLLING PERCENTAGE 80.49 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",141 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",975543 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1498 ,AVERAGE ,ELECTORS PER POLLING S,TATION 808 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC So,ugata Ray ,"",458988 
"",RUNER-UP CPM Am,itava Nandy ,"",438510 
"",MARGIN 20478 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :17 
"",Constituency :Barasat ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,7 ,2 ,9 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,6 ,2 ,8 
"",5. FORFEITED DEPOSIT ,5 ,1 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,638728 ,585885 ,1224613 
"",2. SERVICE ,1347 ,694 ,2041 
"",3. TOTAL ,640075 ,586579 ,1226654 
"",III.VOTERS ,"","",""
"",1. GENERAL ,548825 ,475183 ,1024008 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1531 
"",4. TOTAL ,"","",1025539 
"",III(A). POLLING PERCENTAGE 83.60 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",210 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1025329 
"",4. TENDERED VOTES ,"","",62 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1532 ,AVERAGE ,ELECTORS PER POLLING S,TATION 801 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC Ka,kali Ghosh Da,stidar ,522530 
"",RUNER-UP AIFB Su,din Chattopad,hyay ,399629 
"",MARGIN 122901 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :18 
"",Constituency :Basirhat ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,8 ,0 ,8 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,8 ,0 ,8 
"",5. FORFEITED DEPOSIT ,6 ,0 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,632544 ,564634 ,1197178 
"",2. SERVICE ,958 ,443 ,1401 
"",3. TOTAL ,633502 ,565077 ,1198579 
"",III.VOTERS ,"","",""
"",1. GENERAL ,557835 ,480031 ,1037866 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",343 
"",4. TOTAL ,"","",1038209 
"",III(A). POLLING PERCENTAGE 86.62 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",32 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1038177 
"",4. TENDERED VOTES ,"","",16 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1521 ,AVERAGE ,ELECTORS PER POLLING S,TATION 787 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC Sk,. Nurul Islam ,"",479650 
"",RUNER-UP CPI Aj,ay Chakrabort,y ,419267 
"",MARGIN 60383 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :19 
"",Constituency :Joynagar ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,8 ,0 ,8 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,8 ,0 ,8 
"",5. FORFEITED DEPOSIT ,6 ,0 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,593664 ,549771 ,1143435 
"",2. SERVICE ,140 ,65 ,205 
"",3. TOTAL ,593804 ,549836 ,1143640 
"",III.VOTERS ,"","",""
"",1. GENERAL ,491833 ,423925 ,915758 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",78 
"",4. TOTAL ,"","",915836 
"",III(A). POLLING PERCENTAGE 80.08 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",113 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",915723 
"",4. TENDERED VOTES ,"","",35 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1425 ,AVERAGE ,ELECTORS PER POLLING S,TATION 802 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER IND D,r. Tarun Mond,al ,446200 
"",RUNER-UP RSP N,imai Barman ,"",392495 
"",MARGIN 53705 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :20 
"",Constituency :Mathurapur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,7 ,0 ,7 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,7 ,0 ,7 
"",5. FORFEITED DEPOSIT ,5 ,0 ,5 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,635197 ,591806 ,1227003 
"",2. SERVICE ,285 ,88 ,373 
"",3. TOTAL ,635482 ,591894 ,1227376 
"",III.VOTERS ,"","",""
"",1. GENERAL ,548728 ,499311 ,1048039 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",788 
"",4. TOTAL ,"","",1048827 
"",III(A). POLLING PERCENTAGE 85.45 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",0 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",599 
"",3. TOTAL VALID VOTES POLLED ,"","",1048228 
"",4. TENDERED VOTES ,"","",65 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1516 ,AVERAGE ,ELECTORS PER POLLING S,TATION 809 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-15-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",3 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC C,houdhury Moh,an Jatua ,565505 
"",RUNER-UP CPM An,imesh Naska,r ,435542 
"",MARGIN 129963 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :21 
"",Constituency :Diamond harbour ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,10 ,0 ,10 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,10 ,0 ,10 
"",5. FORFEITED DEPOSIT ,8 ,0 ,8 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,692725 ,609229 ,1301954 
"",2. SERVICE ,300 ,144 ,444 
"",3. TOTAL ,693025 ,609373 ,1302398 
"",III.VOTERS ,"","",""
"",1. GENERAL ,582527 ,471092 ,1053619 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",493 
"",4. TOTAL ,"","",1054112 
"",III(A). POLLING PERCENTAGE 80.94 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",44 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1054068 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1611 ,AVERAGE ,ELECTORS PER POLLING S,TATION 808 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-15-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC So,mendra Nath, Mitra ,564612 
"",RUNER-UP CPM Sa,mik Lahiri ,"",412923 
"",MARGIN 151689 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :22 
"",Constituency :Jadavpur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,8 ,2 ,10 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,8 ,2 ,10 
"",5. FORFEITED DEPOSIT ,6 ,2 ,8 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,683836 ,647302 ,1331138 
"",2. SERVICE ,263 ,136 ,399 
"",3. TOTAL ,684099 ,647438 ,1331537 
"",III.VOTERS ,"","",""
"",1. GENERAL ,574950 ,508653 ,1083603 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1230 
"",4. TOTAL ,"","",1084833 
"",III(A). POLLING PERCENTAGE 81.47 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",762 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1084071 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1629 ,AVERAGE ,ELECTORS PER POLLING S,TATION 817 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC Ka,bir Suman ,"",540667 
"",RUNER-UP CPM Su,jan Chakrabo,rty ,484400 
"",MARGIN 56267 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :23 
"",Constituency :Kolkata Dakshin ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,9 ,4 ,13 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,9 ,4 ,13 
"",5. FORFEITED DEPOSIT ,8 ,3 ,11 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,821147 ,683957 ,1505104 
"",2. SERVICE ,343 ,191 ,534 
"",3. TOTAL ,821490 ,684148 ,1505638 
"",III.VOTERS ,"","",""
"",1. GENERAL ,556771 ,449070 ,1005841 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1384 
"",4. TOTAL ,"","",1007225 
"",III(A). POLLING PERCENTAGE 66.90 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",280 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1006945 
"",4. TENDERED VOTES ,"","",42 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1863 ,AVERAGE ,ELECTORS PER POLLING S,TATION 807 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC M,amata Banerje,e ,576045 
"",RUNER-UP CPM R,abin Deb ,"",356474 
"",MARGIN 219571 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :24 
"",Constituency :Kolkata Uttar ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,14 ,0 ,14 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,13 ,0 ,13 
"",5. FORFEITED DEPOSIT ,11 ,0 ,11 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,790186 ,576296 ,1366482 
"",2. SERVICE ,104 ,61 ,165 
"",3. TOTAL ,790290 ,576357 ,1366647 
"",III.VOTERS ,"","",""
"",1. GENERAL ,511062 ,364794 ,875856 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1525 
"",4. TOTAL ,"","",877381 
"",III(A). POLLING PERCENTAGE 64.20 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",40 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",877341 
"",4. TENDERED VOTES ,"","",6 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1646 ,AVERAGE ,ELECTORS PER POLLING S,TATION 830 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",13-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC Su,dip Bandyopa,dhyay ,460646 
"",RUNER-UP CPM M,d. Salim ,"",351368 
"",MARGIN 109278 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :25 
"",Constituency :Howrah ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,15 ,1 ,16 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,14 ,1 ,15 
"",5. FORFEITED DEPOSIT ,12 ,1 ,13 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,731678 ,612594 ,1344272 
"",2. SERVICE ,340 ,134 ,474 
"",3. TOTAL ,732018 ,612728 ,1344746 
"",III.VOTERS ,"","",""
"",1. GENERAL ,563342 ,430014 ,993356 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",602 
"",4. TOTAL ,"","",993958 
"",III(A). POLLING PERCENTAGE 73.91 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",245 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",993713 
"",4. TENDERED VOTES ,"","",16 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1651 ,AVERAGE ,ELECTORS PER POLLING S,TATION 814 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-10-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",5 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC Am,bica Banerje,e ,477449 
"",RUNER-UP CPM Sw,adesh Chakr,abortty ,440057 
"",MARGIN 37392 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :26 
"",Constituency :Uluberia ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,9 ,0 ,9 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,9 ,0 ,9 
"",5. FORFEITED DEPOSIT ,7 ,0 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,660385 ,590772 ,1251157 
"",2. SERVICE ,328 ,105 ,433 
"",3. TOTAL ,660713 ,590877 ,1251590 
"",III.VOTERS ,"","",""
"",1. GENERAL ,540928 ,468774 ,1009702 
"",2. PROXY ,"","",1 
"",3. POSTAL ,"","",117 
"",4. TOTAL ,"","",1009820 
"",III(A). POLLING PERCENTAGE 80.68 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",32 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1009788 
"",4. TENDERED VOTES ,"","",79 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1551 ,AVERAGE ,ELECTORS PER POLLING S,TATION 806 
"","DATE(s) OF RE-POLL, IF ANY : ","","",05-10-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",2 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",07-May-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AITC Su,ltan Ahmed ,"",514193 
"",RUNER-UP CPM H,annan Mollah ,"",415257 
"",MARGIN 98936 ,"","",""


"",State/UT :S25 ,"","",Code :S25 
"","","","",No. :27 
"",Constituency :Srerampur ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,8 ,0 ,8 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,8 ,0 ,8 
"",5. FORFEITED DEPOSIT ,6 ,0 ,6 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,734886 ,659855 ,1394741 
"",2. SERVICE ,634 ,195 ,829 
"",3. TOTAL ,735520 ,660050 ,1395570 
"",III.VOTERS ,"","",""
"",1. GENERAL ,583048 ,497635 ,1080683 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",719 
